hour,is_holiday,day_night,surveillance_coverage,temperature,population_density,cases_7days,cases_30days,risk_level
13,1,0,0.9,24.5,10263.0,1,26,低风险
21,1,1,0.1,1.2,16842.0,7,16,中风险
15,0,0,0.15,7.4,8947.0,13,22,中风险
22,1,1,0.7,9.0,26053.0,13,33,高风险
1,0,1,0.45,27.6,23421.0,20,50,高风险
11,1,0,0.1,36.9,10263.0,13,52,中风险
13,1,0,0.7,15.2,12895.0,4,18,中风险
19,1,1,0.75,24.5,16842.0,8,40,中风险
17,1,0,0.05,21.4,7632.0,14,52,中风险
2,0,1,0.35,2.8,26053.0,10,22,高风险
11,0,0,0.9,40.0,20789.0,9,11,低风险
0,0,1,0.55,5.9,18158.0,20,51,高风险
1,1,1,0.65,29.1,6316.0,13,20,中风险
21,1,1,0.1,1.2,26053.0,8,28,中风险
18,0,1,0.85,7.4,19474.0,14,18,中风险
1,1,1,1.0,4.3,18158.0,19,24,中风险
23,0,1,0.75,36.9,15526.0,12,17,中风险
18,1,1,0.35,12.1,28684.0,1,21,中风险
22,1,1,0.8,12.1,22105.0,9,25,中风险
17,1,0,0.8,26.0,15526.0,18,52,中风险
2,0,1,0.1,-0.3,8947.0,11,12,中风险
7,1,0,0.15,10.5,23421.0,10,13,中风险
18,1,1,0.75,15.2,14211.0,17,41,中风险
0,0,1,1.0,-3.4,23421.0,8,27,中风险
19,1,1,0.55,4.3,11579.0,15,27,中风险
15,0,0,0.65,10.5,6316.0,11,30,低风险
1,1,1,0.85,4.3,6316.0,20,55,中风险
15,1,0,0.95,-3.4,28684.0,2,10,低风险
16,0,0,0.6,21.4,12895.0,7,23,中风险
22,1,1,0.0,15.2,12895.0,16,37,高风险
7,0,0,0.5,4.3,11579.0,1,37,低风险
6,0,0,0.85,13.6,18158.0,19,44,中风险
5,1,1,0.45,13.6,12895.0,6,13,中风险
10,1,0,0.2,1.2,28684.0,8,42,中风险
20,1,1,0.45,-1.9,8947.0,7,41,中风险
4,0,1,0.0,19.8,6316.0,3,21,高风险
10,1,0,0.0,24.5,22105.0,14,25,中风险
10,0,0,0.4,21.4,14211.0,15,32,中风险
21,0,1,0.7,27.6,15526.0,2,18,中风险
3,0,1,0.15,9.0,18158.0,7,31,高风险
22,0,1,0.8,16.7,6316.0,13,19,中风险
2,1,1,0.35,40.0,15526.0,15,41,中风险
17,0,0,0.1,10.5,10263.0,18,40,中风险
8,0,0,0.2,-5.0,28684.0,13,53,中风险
18,1,1,0.1,38.4,24737.0,12,41,中风险
16,1,0,0.6,1.2,28684.0,12,23,中风险
10,1,0,0.3,27.6,22105.0,19,38,中风险
6,1,0,0.2,13.6,12895.0,17,28,高风险
20,0,1,0.0,26.0,6316.0,3,18,中风险
15,0,0,1.0,13.6,5000.0,14,35,低风险
5,0,1,0.75,2.8,27368.0,12,32,中风险
18,1,1,0.4,26.0,16842.0,18,57,中风险
22,1,1,0.9,4.3,11579.0,10,36,中风险
16,0,0,0.2,38.4,23421.0,18,40,中风险
19,0,1,0.8,21.4,15526.0,0,27,中风险
2,1,1,0.95,32.2,16842.0,0,11,中风险
1,0,1,0.2,16.7,19474.0,10,36,高风险
2,0,1,0.3,33.8,12895.0,5,14,中风险
10,0,0,0.5,1.2,8947.0,5,39,低风险
17,0,0,0.55,19.8,8947.0,8,21,中风险
15,1,0,0.2,19.8,5000.0,5,25,中风险
5,0,1,0.75,32.2,16842.0,10,46,中风险
7,1,0,0.25,16.7,27368.0,11,25,中风险
16,0,0,0.25,9.0,20789.0,1,25,中风险
8,0,0,0.6,-0.3,23421.0,5,20,中风险
23,0,1,0.85,7.4,22105.0,4,41,中风险
15,1,0,0.2,24.5,7632.0,5,33,中风险
9,0,0,0.45,26.0,24737.0,7,39,中风险
13,1,0,0.35,35.3,14211.0,10,38,低风险
13,1,0,0.0,1.2,7632.0,4,4,低风险
10,1,0,0.95,26.0,8947.0,3,7,低风险
0,1,1,0.95,22.9,6316.0,16,25,中风险
18,1,1,1.0,27.6,24737.0,18,55,中风险
17,0,0,0.45,5.9,18158.0,1,5,低风险
20,0,1,0.55,16.7,18158.0,10,44,中风险
20,0,1,0.65,-0.3,19474.0,5,33,中风险
11,1,0,0.15,9.0,18158.0,14,34,中风险
1,0,1,0.15,27.6,28684.0,13,25,高风险
21,0,1,0.15,19.8,8947.0,1,40,中风险
8,0,0,0.6,27.6,15526.0,9,29,中风险
6,1,0,0.7,9.0,28684.0,0,8,中风险
3,1,1,0.9,32.2,20789.0,10,19,中风险
22,1,1,0.15,18.3,10263.0,18,35,高风险
6,1,0,0.5,-0.3,7632.0,1,5,低风险
5,0,1,0.45,36.9,7632.0,4,8,中风险
13,1,0,0.65,13.6,6316.0,17,40,低风险
7,1,0,0.1,26.0,27368.0,7,35,中风险
16,1,0,0.8,22.9,26053.0,15,37,中风险
12,0,0,0.8,40.0,6316.0,3,14,低风险
14,1,0,0.75,13.6,18158.0,14,20,低风险
18,0,1,0.1,22.9,30000.0,13,15,高风险
18,0,1,0.3,21.4,26053.0,8,31,高风险
4,1,1,0.25,15.2,28684.0,3,5,高风险
18,0,1,0.9,2.8,24737.0,12,37,中风险
3,0,1,0.6,16.7,18158.0,6,39,高风险
8,0,0,1.0,10.5,19474.0,19,58,中风险
11,1,0,0.25,26.0,23421.0,9,20,中风险
5,1,1,0.7,36.9,30000.0,13,39,高风险
19,1,1,0.0,15.2,16842.0,6,7,中风险
0,0,1,0.9,21.4,11579.0,6,30,中风险
17,0,0,0.6,21.4,6316.0,8,46,中风险
3,0,1,0.6,30.7,14211.0,14,27,高风险
6,0,0,0.5,38.4,11579.0,14,36,中风险
2,0,1,0.35,7.4,23421.0,2,23,高风险
20,0,1,0.5,-3.4,27368.0,11,39,中风险
8,1,0,0.4,1.2,5000.0,15,18,低风险
3,0,1,0.9,1.2,24737.0,19,25,中风险
18,0,1,0.25,10.5,11579.0,12,18,中风险
14,1,0,0.65,24.5,20789.0,15,35,中风险
0,0,1,0.85,26.0,26053.0,9,35,高风险
7,1,0,0.5,13.6,15526.0,17,18,中风险
16,0,0,0.6,-1.9,6316.0,11,23,低风险
17,0,0,0.4,9.0,12895.0,1,5,低风险
16,1,0,0.35,35.3,20789.0,6,43,中风险
7,1,0,1.0,1.2,10263.0,3,38,低风险
7,0,0,0.25,-1.9,27368.0,2,6,中风险
22,0,1,0.9,-0.3,6316.0,10,41,中风险
18,0,1,0.15,16.7,10263.0,9,44,高风险
1,1,1,0.65,32.2,8947.0,14,50,中风险
1,1,1,0.95,4.3,27368.0,3,43,中风险
13,0,0,0.85,-0.3,19474.0,10,47,低风险
3,0,1,0.8,26.0,27368.0,10,26,高风险
17,1,0,0.3,15.2,10263.0,0,15,低风险
10,0,0,0.5,19.8,28684.0,13,24,中风险
22,1,1,0.5,35.3,19474.0,17,19,中风险
11,0,0,0.55,38.4,23421.0,6,35,中风险
3,1,1,0.55,35.3,6316.0,15,26,中风险
19,0,1,0.45,2.8,24737.0,18,58,高风险
19,1,1,0.5,7.4,16842.0,15,29,中风险
14,0,0,0.95,40.0,19474.0,8,13,低风险
14,0,0,0.95,1.2,6316.0,11,40,低风险
14,0,0,0.9,10.5,26053.0,19,49,中风险
20,0,1,0.6,22.9,14211.0,15,54,高风险
21,1,1,0.25,35.3,10263.0,5,19,中风险
13,1,0,0.3,21.4,16842.0,1,31,中风险
20,0,1,0.35,22.9,18158.0,20,51,高风险
2,0,1,0.2,12.1,6316.0,10,32,高风险
23,0,1,0.55,-3.4,30000.0,8,31,高风险
11,0,0,0.5,13.6,16842.0,18,43,中风险
14,1,0,0.0,-1.9,22105.0,12,29,中风险
10,0,0,0.0,35.3,6316.0,5,18,低风险
23,1,1,0.2,5.9,16842.0,16,45,高风险
1,0,1,0.9,7.4,24737.0,11,23,中风险
13,1,0,0.4,30.7,6316.0,9,18,低风险
21,0,1,0.35,26.0,30000.0,11,42,高风险
5,1,1,0.3,16.7,27368.0,16,23,高风险
7,1,0,0.65,19.8,30000.0,15,55,中风险
12,1,0,0.95,26.0,16842.0,1,2,低风险
8,0,0,0.55,16.7,15526.0,0,40,中风险
2,0,1,0.1,2.8,20789.0,14,36,高风险
0,0,1,0.85,22.9,26053.0,6,14,高风险
4,0,1,0.5,7.4,27368.0,10,39,高风险
5,1,1,1.0,15.2,22105.0,6,19,中风险
16,1,0,0.1,5.9,6316.0,13,51,中风险
0,0,1,0.4,7.4,27368.0,5,18,高风险
4,0,1,0.35,32.2,15526.0,17,27,高风险
5,1,1,0.95,33.8,28684.0,5,38,中风险
4,1,1,0.95,19.8,28684.0,14,21,高风险
0,0,1,0.6,19.8,27368.0,16,16,高风险
6,0,0,0.8,-3.4,7632.0,8,19,中风险
1,0,1,0.15,7.4,18158.0,1,29,高风险
23,0,1,0.75,36.9,18158.0,10,24,中风险
16,0,0,0.05,1.2,23421.0,7,28,中风险
20,1,1,0.1,4.3,11579.0,1,6,中风险
21,0,1,0.3,22.9,27368.0,20,51,高风险
8,0,0,0.6,27.6,18158.0,2,22,中风险
22,0,1,0.5,36.9,16842.0,3,7,中风险
2,1,1,0.5,24.5,23421.0,4,44,高风险
20,0,1,0.05,16.7,12895.0,6,32,高风险
17,1,0,0.9,21.4,8947.0,19,44,低风险
21,1,1,0.8,18.3,15526.0,5,40,中风险
16,0,0,0.5,-0.3,27368.0,6,16,中风险
18,0,1,0.6,12.1,22105.0,9,24,中风险
8,0,0,0.15,19.8,20789.0,13,25,中风险
8,0,0,0.0,18.3,12895.0,17,56,中风险
13,0,0,0.25,4.3,28684.0,3,43,中风险
2,0,1,0.35,9.0,15526.0,8,15,中风险
14,1,0,0.3,38.4,24737.0,14,42,中风险
19,0,1,0.0,30.7,16842.0,8,25,中风险
3,0,1,0.6,15.2,11579.0,6,10,中风险
7,0,0,0.35,30.7,6316.0,20,33,中风险
16,0,0,0.75,19.8,14211.0,9,49,中风险
16,1,0,0.05,30.7,16842.0,16,28,中风险
6,1,0,0.85,-5.0,10263.0,5,43,中风险
1,0,1,0.8,15.2,22105.0,3,29,高风险
10,0,0,0.4,36.9,28684.0,16,39,中风险
6,1,0,0.7,9.0,20789.0,5,26,中风险
9,0,0,0.9,22.9,16842.0,0,23,低风险
17,1,0,0.8,9.0,18158.0,10,25,低风险
4,1,1,0.75,-1.9,12895.0,14,29,中风险
18,0,1,0.35,16.7,5000.0,11,11,中风险
19,1,1,0.65,-5.0,8947.0,17,51,中风险
2,1,1,0.4,21.4,5000.0,3,17,中风险
8,0,0,0.9,1.2,30000.0,11,44,中风险
3,0,1,0.25,36.9,23421.0,4,13,高风险
2,0,1,0.05,-5.0,18158.0,18,43,高风险
3,1,1,0.5,40.0,28684.0,19,27,高风险
17,0,0,0.75,-1.9,27368.0,17,57,中风险
9,0,0,0.35,16.7,10263.0,1,35,中风险
12,0,0,0.55,15.2,22105.0,16,19,中风险
8,0,0,0.45,-3.4,14211.0,12,25,中风险
19,0,1,0.85,-5.0,10263.0,8,16,中风险
1,0,1,0.7,4.3,7632.0,11,34,中风险
20,1,1,0.4,38.4,28684.0,10,31,中风险
11,0,0,0.05,12.1,24737.0,5,41,中风险
15,0,0,0.55,1.2,11579.0,14,15,低风险
1,0,1,0.35,35.3,15526.0,4,40,中风险
20,1,1,1.0,30.7,10263.0,4,7,中风险
14,0,0,0.2,32.2,6316.0,7,47,中风险
12,1,0,0.4,12.1,14211.0,14,54,中风险
1,0,1,0.5,40.0,30000.0,7,28,高风险
22,1,1,0.25,13.6,14211.0,20,20,高风险
22,0,1,0.85,15.2,20789.0,14,37,高风险
1,0,1,0.3,-5.0,18158.0,16,31,中风险
0,0,1,0.6,38.4,6316.0,10,23,中风险
19,0,1,0.45,-0.3,8947.0,9,48,中风险
7,1,0,0.2,4.3,8947.0,2,38,低风险
13,1,0,0.65,10.5,10263.0,17,53,中风险
10,1,0,0.6,18.3,30000.0,15,16,中风险
20,1,1,0.75,26.0,22105.0,0,23,中风险
13,0,0,0.1,21.4,11579.0,5,12,中风险
20,0,1,0.75,-0.3,5000.0,2,20,低风险
5,1,1,0.85,40.0,5000.0,10,46,中风险
23,0,1,0.4,7.4,11579.0,11,50,高风险
7,0,0,0.75,4.3,11579.0,8,11,低风险
21,1,1,0.65,15.2,20789.0,1,7,中风险
4,0,1,0.35,16.7,26053.0,7,16,高风险
22,0,1,0.55,33.8,10263.0,4,8,中风险
13,1,0,0.6,40.0,12895.0,17,44,中风险
2,0,1,0.3,15.2,12895.0,12,42,高风险
18,0,1,0.2,7.4,27368.0,10,44,高风险
1,1,1,0.35,38.4,19474.0,6,20,中风险
21,0,1,0.45,15.2,8947.0,0,35,中风险
9,1,0,0.6,22.9,15526.0,2,28,中风险
9,0,0,0.5,9.0,30000.0,10,40,中风险
4,0,1,0.0,35.3,19474.0,11,48,高风险
20,0,1,0.55,9.0,5000.0,1,10,中风险
9,1,0,0.5,32.2,19474.0,2,8,低风险
6,0,0,0.4,1.2,5000.0,14,33,中风险
22,1,1,0.55,5.9,24737.0,11,36,高风险
5,0,1,0.45,12.1,8947.0,7,7,中风险
6,1,0,0.7,1.2,8947.0,14,26,中风险
19,0,1,0.8,-0.3,28684.0,15,47,中风险
20,0,1,0.65,29.1,30000.0,8,27,中风险
10,0,0,0.45,18.3,18158.0,8,9,中风险
20,0,1,0.6,36.9,23421.0,3,7,中风险
20,1,1,0.85,-1.9,22105.0,7,11,中风险
18,1,1,0.8,18.3,15526.0,6,46,中风险
16,1,0,0.95,21.4,18158.0,17,23,低风险
10,1,0,0.45,16.7,14211.0,9,12,中风险
12,1,0,0.05,24.5,24737.0,4,9,中风险
23,1,1,0.7,-5.0,5000.0,0,21,中风险
19,1,1,0.9,16.7,14211.0,12,44,中风险
5,0,1,0.8,7.4,11579.0,0,11,中风险
11,0,0,0.55,7.4,23421.0,5,12,中风险
4,1,1,0.1,7.4,6316.0,15,47,高风险
22,0,1,0.1,12.1,16842.0,5,38,高风险
1,0,1,0.3,9.0,20789.0,20,41,高风险
8,1,0,0.55,5.9,14211.0,2,22,低风险
20,1,1,0.5,24.5,28684.0,8,24,中风险
15,0,0,0.55,33.8,19474.0,9,29,中风险
1,1,1,0.9,5.9,19474.0,3,40,中风险
12,0,0,0.95,-5.0,18158.0,2,16,低风险
23,0,1,0.9,38.4,20789.0,15,23,中风险
7,0,0,0.75,2.8,15526.0,9,46,低风险
9,0,0,0.2,33.8,16842.0,8,29,中风险
21,1,1,0.75,30.7,11579.0,9,9,中风险
2,0,1,0.2,12.1,28684.0,19,45,高风险
10,0,0,0.05,35.3,18158.0,5,33,中风险
6,0,0,0.65,29.1,10263.0,11,20,中风险
8,0,0,0.05,36.9,16842.0,2,35,中风险
19,0,1,0.25,-1.9,23421.0,14,21,高风险
6,0,0,0.4,38.4,28684.0,19,31,高风险
3,1,1,0.6,9.0,24737.0,10,13,中风险
6,1,0,0.85,9.0,24737.0,19,49,中风险
18,1,1,0.85,26.0,20789.0,3,4,中风险
19,0,1,0.7,18.3,26053.0,0,31,中风险
2,1,1,0.95,-3.4,26053.0,18,33,中风险
2,1,1,0.55,-0.3,5000.0,5,26,中风险
22,0,1,0.65,35.3,5000.0,11,32,中风险
21,1,1,0.0,4.3,28684.0,8,42,中风险
17,1,0,0.75,7.4,22105.0,14,40,中风险
10,0,0,0.7,-0.3,30000.0,4,10,中风险
6,0,0,0.4,24.5,27368.0,0,1,中风险
1,1,1,0.0,18.3,7632.0,14,33,高风险
10,0,0,0.1,-0.3,16842.0,19,42,中风险
17,1,0,0.65,36.9,24737.0,10,33,中风险
7,1,0,0.75,22.9,23421.0,12,34,中风险
16,0,0,0.45,15.2,26053.0,12,32,中风险
9,0,0,0.65,21.4,18158.0,16,32,中风险
23,0,1,0.15,2.8,11579.0,6,12,中风险
15,0,0,0.0,24.5,28684.0,0,35,中风险
20,1,1,0.85,27.6,23421.0,14,29,中风险
19,1,1,0.0,2.8,19474.0,15,15,中风险
22,1,1,0.2,16.7,22105.0,1,2,高风险
16,1,0,0.4,-0.3,24737.0,11,15,中风险
13,0,0,0.6,21.4,27368.0,19,55,中风险
3,0,1,0.7,-5.0,27368.0,18,43,高风险
0,0,1,0.0,18.3,27368.0,14,38,高风险
15,0,0,0.85,-5.0,26053.0,16,33,中风险
5,0,1,0.05,2.8,22105.0,11,24,高风险
14,0,0,0.35,27.6,10263.0,4,36,中风险
1,1,1,0.4,1.2,18158.0,15,45,中风险
22,0,1,0.0,16.7,24737.0,9,38,高风险
9,0,0,0.45,40.0,8947.0,20,30,低风险
17,1,0,0.5,19.8,28684.0,18,43,中风险
2,0,1,0.25,30.7,5000.0,0,18,中风险
20,1,1,0.3,18.3,15526.0,18,34,中风险
21,1,1,0.85,36.9,11579.0,8,38,中风险
4,1,1,0.55,-1.9,24737.0,7,39,中风险
6,1,0,0.7,4.3,23421.0,5,8,中风险
10,1,0,0.0,10.5,16842.0,4,43,中风险
16,1,0,0.4,33.8,18158.0,18,28,中风险
13,1,0,0.1,21.4,6316.0,0,29,低风险
17,1,0,0.8,19.8,14211.0,7,43,低风险
18,1,1,0.75,35.3,26053.0,20,39,中风险
2,0,1,0.35,19.8,30000.0,11,24,高风险
6,0,0,0.2,22.9,30000.0,1,29,高风险
3,0,1,0.1,22.9,18158.0,17,57,高风险
7,1,0,0.2,32.2,26053.0,2,21,中风险
0,0,1,0.05,21.4,8947.0,2,39,高风险
19,1,1,0.7,4.3,23421.0,17,57,中风险
0,0,1,0.15,16.7,10263.0,13,48,高风险
4,0,1,0.8,36.9,12895.0,16,38,中风险
13,0,0,0.35,15.2,15526.0,20,31,中风险
3,0,1,0.75,5.9,26053.0,11,36,高风险
8,0,0,0.9,-5.0,27368.0,13,32,中风险
14,1,0,0.9,27.6,10263.0,0,21,低风险
21,1,1,0.2,40.0,27368.0,9,26,中风险
13,1,0,0.95,13.6,14211.0,11,36,低风险
22,1,1,0.95,2.8,8947.0,5,34,中风险
9,1,0,0.35,10.5,16842.0,0,34,低风险
6,1,0,0.05,30.7,30000.0,3,13,中风险
23,1,1,0.2,36.9,8947.0,5,30,中风险
3,1,1,0.45,19.8,20789.0,20,54,高风险
10,1,0,0.6,30.7,8947.0,1,2,低风险
8,1,0,0.0,24.5,15526.0,20,38,中风险
19,1,1,0.45,-5.0,8947.0,16,48,中风险
10,1,0,0.55,30.7,20789.0,13,15,中风险
8,0,0,0.65,7.4,18158.0,5,35,中风险
22,1,1,0.65,29.1,24737.0,15,53,高风险
23,0,1,0.75,38.4,6316.0,8,13,中风险
4,1,1,0.65,40.0,28684.0,5,42,中风险
7,0,0,0.25,15.2,22105.0,16,29,中风险
17,0,0,0.25,4.3,15526.0,20,45,中风险
22,0,1,0.7,-3.4,26053.0,12,13,高风险
0,1,1,0.35,27.6,8947.0,6,19,中风险
12,0,0,0.35,19.8,28684.0,20,31,中风险
1,1,1,0.25,-5.0,12895.0,5,16,中风险
12,1,0,0.7,26.0,10263.0,10,35,中风险
6,0,0,0.3,-1.9,6316.0,19,43,中风险
0,1,1,0.5,30.7,23421.0,17,54,高风险
15,0,0,0.05,19.8,28684.0,19,27,中风险
19,1,1,0.65,33.8,28684.0,7,24,中风险
12,1,0,0.8,7.4,8947.0,5,35,低风险
3,0,1,0.3,40.0,8947.0,9,21,中风险
7,0,0,0.1,26.0,19474.0,0,26,中风险
19,0,1,0.45,32.2,22105.0,20,60,高风险
11,0,0,0.4,16.7,27368.0,20,51,中风险
19,0,1,0.8,26.0,18158.0,11,23,中风险
0,0,1,0.45,13.6,19474.0,13,18,中风险
4,1,1,0.6,29.1,7632.0,3,37,中风险
13,0,0,0.2,9.0,24737.0,9,49,中风险
9,0,0,0.1,27.6,8947.0,15,19,中风险
17,1,0,0.75,33.8,12895.0,13,50,低风险
18,1,1,0.35,-0.3,19474.0,15,43,中风险
1,0,1,0.6,-1.9,8947.0,20,38,中风险
9,0,0,0.7,4.3,28684.0,15,23,中风险
2,1,1,0.9,-0.3,5000.0,1,5,低风险
16,0,0,0.6,15.2,12895.0,15,45,中风险
22,1,1,0.0,40.0,16842.0,16,30,高风险
1,1,1,0.7,19.8,7632.0,14,45,中风险
18,0,1,0.1,-5.0,26053.0,1,13,中风险
14,0,0,0.85,-3.4,18158.0,7,35,低风险
8,1,0,0.7,10.5,16842.0,6,45,中风险
2,0,1,0.6,36.9,22105.0,14,53,高风险
7,0,0,0.4,-0.3,7632.0,17,18,低风险
12,0,0,1.0,-5.0,12895.0,15,22,低风险
13,1,0,0.95,12.1,7632.0,7,17,低风险
7,1,0,1.0,1.2,27368.0,16,22,低风险
8,0,0,0.5,9.0,23421.0,8,17,中风险
21,0,1,0.5,40.0,28684.0,2,29,中风险
10,1,0,0.65,18.3,16842.0,1,31,中风险
15,1,0,0.1,9.0,24737.0,5,21,中风险
7,1,0,0.65,13.6,19474.0,1,21,低风险
16,0,0,0.65,38.4,16842.0,19,31,中风险
18,1,1,0.3,38.4,7632.0,19,24,中风险
10,1,0,0.85,36.9,16842.0,0,22,低风险
9,1,0,0.65,-1.9,30000.0,10,10,低风险
4,1,1,0.35,-3.4,18158.0,13,14,中风险
7,0,0,0.25,40.0,8947.0,8,28,低风险
11,0,0,0.55,-1.9,23421.0,7,29,中风险
16,0,0,0.75,1.2,12895.0,5,20,低风险
21,1,1,0.95,9.0,5000.0,5,18,低风险
6,1,0,0.4,1.2,7632.0,8,44,中风险
17,0,0,0.15,2.8,15526.0,14,34,中风险
18,1,1,0.0,4.3,8947.0,7,26,中风险
18,0,1,0.35,5.9,6316.0,7,41,中风险
15,1,0,0.2,40.0,14211.0,19,36,中风险
14,1,0,0.85,-3.4,8947.0,1,16,低风险
7,0,0,0.0,35.3,14211.0,0,27,中风险
2,1,1,0.65,2.8,19474.0,10,45,中风险
1,1,1,0.35,13.6,27368.0,13,39,高风险
8,1,0,0.2,38.4,16842.0,17,19,中风险
3,0,1,0.25,38.4,16842.0,11,45,高风险
5,0,1,0.85,29.1,11579.0,18,23,中风险
3,1,1,0.15,38.4,24737.0,13,19,高风险
21,0,1,0.8,21.4,10263.0,18,54,中风险
15,0,0,0.95,2.8,11579.0,20,60,中风险
9,0,0,0.1,18.3,10263.0,19,55,中风险
4,0,1,0.45,1.2,6316.0,6,39,中风险
11,1,0,0.7,1.2,22105.0,8,15,低风险
0,0,1,0.5,33.8,19474.0,15,27,高风险
7,0,0,0.4,18.3,14211.0,5,7,中风险
22,0,1,0.7,24.5,20789.0,19,59,高风险
10,0,0,0.3,18.3,16842.0,9,36,中风险
5,0,1,0.9,24.5,26053.0,7,11,高风险
22,1,1,0.6,5.9,20789.0,13,53,高风险
20,0,1,0.65,33.8,7632.0,15,20,中风险
17,1,0,0.05,33.8,15526.0,6,20,中风险
6,0,0,0.0,24.5,15526.0,10,14,高风险
0,0,1,0.35,-3.4,12895.0,19,39,高风险
11,0,0,0.0,32.2,10263.0,4,34,中风险
23,1,1,0.3,33.8,11579.0,19,25,中风险
12,1,0,0.4,16.7,30000.0,17,36,中风险
6,0,0,0.55,33.8,16842.0,0,18,中风险
1,0,1,0.15,-5.0,14211.0,6,6,中风险
13,0,0,0.25,32.2,22105.0,14,21,中风险
20,1,1,0.0,27.6,6316.0,1,24,中风险
1,1,1,0.9,29.1,7632.0,14,51,中风险
0,1,1,0.9,4.3,15526.0,15,22,中风险
4,0,1,0.55,2.8,19474.0,0,23,中风险
21,0,1,0.25,27.6,30000.0,1,2,高风险
22,0,1,0.45,26.0,30000.0,7,7,高风险
8,1,0,0.0,13.6,20789.0,18,41,中风险
9,1,0,0.0,27.6,8947.0,9,45,中风险
13,1,0,0.4,36.9,30000.0,19,31,中风险
10,0,0,0.25,35.3,18158.0,17,55,中风险
11,0,0,0.15,10.5,23421.0,0,6,中风险
21,0,1,0.45,7.4,10263.0,2,42,中风险
16,1,0,0.35,32.2,6316.0,13,14,低风险
3,0,1,0.25,-5.0,16842.0,13,32,高风险
16,0,0,0.25,4.3,6316.0,11,12,低风险
12,0,0,0.9,-0.3,19474.0,15,55,低风险
3,1,1,0.35,1.2,7632.0,2,35,中风险
13,0,0,0.7,15.2,16842.0,15,22,中风险
22,0,1,0.9,9.0,27368.0,2,11,中风险
4,0,1,0.0,29.1,5000.0,6,42,中风险
15,0,0,0.95,10.5,11579.0,10,14,低风险
4,0,1,0.95,40.0,10263.0,18,19,中风险
8,0,0,0.25,32.2,30000.0,19,26,中风险
20,0,1,0.3,19.8,16842.0,1,9,中风险
16,0,0,0.15,33.8,20789.0,13,45,中风险
9,1,0,0.55,32.2,16842.0,18,45,中风险
8,1,0,0.6,36.9,19474.0,9,36,低风险
18,0,1,0.25,33.8,6316.0,9,36,中风险
8,0,0,0.95,10.5,16842.0,8,35,低风险
23,1,1,0.95,1.2,19474.0,0,12,中风险
18,0,1,0.2,32.2,16842.0,3,4,中风险
1,0,1,0.25,26.0,8947.0,6,28,高风险
20,0,1,0.3,21.4,26053.0,6,10,中风险
14,1,0,0.4,-0.3,30000.0,5,27,低风险
11,0,0,0.35,4.3,30000.0,20,33,中风险
13,0,0,0.5,15.2,12895.0,19,30,中风险
11,1,0,0.95,26.0,6316.0,17,19,低风险
16,1,0,0.35,-1.9,23421.0,15,23,中风险
19,1,1,0.65,-1.9,16842.0,4,36,中风险
0,0,1,0.5,18.3,26053.0,14,54,高风险
22,0,1,0.45,2.8,18158.0,3,26,中风险
